row_id,session_id,timestamp,src_ip,dst_port,country_code,user_agent,login_attempts_last_1h,failed_logins_last_24h,session_duration_sec,bytes_sent,bytes_received,num_requests_per_session,password_entropy,account_age_days,is_vpn,is_tor_exit_node,device_fingerprint_match,geo_velocity_kmph,new_device,captcha_triggered,login_hour,weekend_login,payload_anomaly_score,label
300,cd21d7fb8ef61659,04-11-2024 04:12,45.128.242.33,443,CN,libwww-perl/6.72,9,5,31,1557,4842,369,1.54,35,1,0,0,5921.0,1,0,5,1,0.711,1
406,0275810ab093b0e1,15-01-2024 09:07,185.81.184.152,8443,NL,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,1,3,2146,10061,61331,55,4.2,456,0,0,1,42.0,0,0,13,0,0.188,0
245,b3a761e0ab613e3f,12-10-2024 04:41,103.235.124.231,80,IR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,9,19,54,337,656,102,1.46,43,0,0,0,899.1,1,1,23,1,0.97,1
196,b4680fa335a73981,25-01-2024 02:33,192.168.146.16,443,NL,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,0,2,3371,9086,51189,79,3.84,1458,0,0,1,106.1,0,0,7,0,0.068,0
254,0b293383a76085ba,07-07-2024 05:10,114.49.195.49,80,PK,curl/7.88.1,7,25,83,372,3376,97,1.34,25,0,0,0,3824.2,0,1,3,1,0.544,1
98,cd2ff77d78cf9d74,06-08-2024 00:00,103.93.116.117,443,NG,Nikto/2.1.6,9,46,50,2170,3576,8,1.45,21,1,1,0,5776.9,1,1,3,1,0.677,1
446,abff2a06c6bc8677,19-04-2024 04:37,185.13.0.78,80,KP,curl/7.88.1,5,14,71,2369,4772,7,2.55,28,1,0,0,5676.5,1,1,22,1,0.677,1
389,8755fe829f2e5d45,18-03-2024 22:11,62.249.202.224,3389,RU,Mozilla/5.0 (Android 13; Mobile) Chrome/119,4,7,72,2030,2329,498,2.92,5,0,0,0,9511.5,0,1,1,1,0.707,1
7,58560113fc1d2a94,07-04-2024 22:39,103.132.72.55,8080,UA,Go-http-client/1.1,7,38,74,2011,4948,4,1.48,13,1,0,0,6586.0,1,1,23,1,0.876,1
150,36282d4aef3b9009,07-12-2024 03:04,114.47.155.228,443,UA,python-requests/2.28.1,4,31,42,2871,2692,468,1.98,49,1,0,0,6999.7,1,1,23,0,0.793,1
24,7c84c6ca341c97df,03-02-2024 07:17,194.172.37.141,443,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,2,1246,10537,12112,55,5.74,1027,0,0,1,109.9,0,0,18,0,0.064,0
342,df45a8dd618f5dc3,10-05-2024 11:51,192.168.223.69,443,SG,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,4,3344,14439,2660,97,4.62,709,0,0,1,108.4,0,0,15,0,0.118,0
351,015af7fdfcfa4c2e,15-01-2024 14:22,192.168.247.133,80,US,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,0,0,1744,10598,41053,38,4.52,542,0,0,1,80.7,0,0,21,0,0.299,0
110,95713a157cf5e5b9,23-12-2024 17:43,192.168.87.171,80,DE,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2,2,1345,13419,18628,14,4.81,816,0,0,1,5.2,0,1,12,0,0.195,0
158,8cb0c144ddddaa3f,12-12-2024 05:05,172.224.99.216,80,UA,masscan/1.3,6,25,58,1587,2425,454,1.89,53,1,1,0,1035.5,1,1,22,1,0.894,1
85,d1141a4f5052a76c,06-02-2024 05:08,91.220.69.38,8080,VN,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,5,36,44,2614,3852,301,2.78,6,1,0,0,4550.8,1,1,5,0,0.585,1
444,53c7f8d3b4ab5487,24-02-2024 12:59,192.168.166.235,443,JP,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2,1,2240,10798,58978,36,3.63,1468,0,0,1,59.5,0,1,17,1,0.285,0
115,539ac34a23ecb00b,03-08-2024 15:36,192.168.172.176,443,FR,Mozilla/5.0 (Android 13; Mobile) Chrome/119,1,3,3458,1799,61639,48,5.02,1923,1,0,1,110.2,0,0,11,0,0.067,0
438,3c46765f24e0e239,22-04-2024 23:18,203.72.221.103,80,RO,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,6,40,24,2840,2952,226,1.11,47,0,1,0,11550.0,1,0,3,0,0.773,1
424,73f69c1e911c052c,22-02-2024 21:49,45.211.186.5,443,SG,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,1,2,664,8123,60345,79,4.69,256,0,0,1,42.1,0,0,7,0,0.171,0
337,4daf52edaf26fa0c,27-11-2024 03:24,194.219.187.125,443,IR,curl/7.88.1,1,35,8,826,4710,6,1.7,29,0,1,1,4982.2,1,1,1,1,0.741,1
118,77599c5976ac74c4,20-12-2024 02:52,77.163.146.109,80,NG,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,5,44,12,2392,2605,263,1.99,44,0,0,0,8491.0,1,1,3,1,0.418,1
57,aa2d390c3d4c3237,09-10-2024 12:57,192.168.91.116,443,CA,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,1,2577,5107,17390,39,4.29,1401,0,0,1,58.8,0,1,10,0,0.236,0
119,72c795c024863cda,10-11-2024 03:21,194.60.254.119,443,GB,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,2,3,2478,3417,78374,59,4.7,1436,0,0,1,45.9,0,1,11,0,0.114,0
62,d30afcbf55352c9f,30-04-2024 02:07,62.44.1.119,443,UA,masscan/1.3,2,10,41,2638,3064,1,2.36,51,1,1,0,7280.8,0,1,4,1,0.888,1
242,9ca9713b64e4ea56,03-09-2024 04:35,77.246.33.89,22,VN,Nikto/2.1.6,1,20,75,2356,2975,373,2.57,36,1,0,0,10863.4,0,1,3,0,0.55,1
419,4c4396ff360d42fd,02-08-2024 09:44,192.168.183.249,443,SG,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,2,4,123,1866,47951,82,3.63,863,0,0,1,64.9,0,1,20,0,0.086,0
138,fa35d332452efcc7,31-07-2024 04:31,103.194.122.31,8080,KP,libwww-perl/6.72,14,37,57,1985,2645,298,1.61,21,1,0,0,1798.7,1,0,0,1,0.849,1
134,70694a67836f8a50,01-03-2024 11:03,192.168.212.54,8443,US,Mozilla/5.0 (Android 13; Mobile) Chrome/119,1,2,1518,11639,72292,110,3.91,1019,0,0,1,92.5,0,0,9,1,0.288,0
12,caa55011c706e9d7,27-10-2024 18:52,77.169.6.56,443,US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,1,2,879,5654,11862,58,3.92,748,0,0,1,11.0,0,0,17,0,0.248,0
326,58fdf2b1b16061e7,18-11-2024 08:30,192.168.5.44,443,GB,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,2,0,2358,9462,32144,112,5.74,1634,0,0,1,61.5,0,1,21,0,0.053,0
186,35a88cb3b999d03b,27-09-2024 00:51,62.247.205.190,8080,PK,sqlmap/1.7,9,41,79,1872,2458,4,1.84,10,1,0,0,8900.2,0,1,4,1,0.604,1
353,0c9c42a629a7a657,22-12-2024 23:07,172.5.150.234,22,CN,python-requests/2.28.1,7,14,29,1910,1836,479,2.18,6,1,0,0,5702.8,0,1,4,0,0.642,1
437,3b84848adfe25928,19-02-2024 07:32,192.168.35.97,8443,US,Mozilla/5.0 (Android 13; Mobile) Chrome/119,1,4,528,14080,44710,43,5.5,782,0,0,1,36.0,1,0,17,1,0.288,0
373,0addb558b2423cc6,06-05-2024 17:28,203.91.44.107,443,GB,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,0,4,380,4330,19808,15,5.59,1357,0,0,1,113.4,0,0,14,1,0.103,0
49,1327f981b95864e5,12-04-2024 16:42,203.162.146.200,443,US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,0,2,2873,4191,55729,34,4.09,637,0,0,1,107.8,0,0,21,0,0.193,0
163,a543bcac88b77d64,23-11-2024 16:02,192.168.218.68,8443,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,4,917,2627,74178,119,4.16,365,0,0,1,84.6,0,0,19,1,0.271,0
225,792eb3b20f558fad,05-01-2024 16:49,185.189.74.204,80,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,3,2297,9220,25258,64,3.95,796,0,0,1,81.2,0,0,19,1,0.087,0
42,1d835bf478e03f40,29-01-2024 16:31,114.25.221.93,443,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,3,234,10641,74914,72,5.41,1179,0,0,1,16.5,0,0,20,0,0.07,0
443,0cc0cb61327d7def,31-08-2024 08:56,192.168.20.10,8443,FR,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,0,0,2678,10832,12555,19,3.71,698,0,0,1,109.0,1,0,14,0,0.222,0
241,136da19e3b4cef8c,26-08-2024 02:05,185.107.32.136,3389,UA,libwww-perl/6.72,4,47,41,597,2094,232,3.05,2,1,1,0,528.4,1,1,22,0,0.901,1
17,511fb1813e830357,03-01-2024 09:25,45.213.111.62,443,JP,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,1,2,1553,2221,11735,36,3.76,1442,0,0,1,113.0,0,0,19,0,0.034,0
257,92cd6800caf036ac,11-11-2024 23:49,203.5.174.252,80,VN,Go-http-client/1.1,8,18,38,326,645,3,1.75,57,1,0,0,10378.6,1,1,0,0,0.645,1
304,22e96258b5abd45e,14-09-2024 08:34,192.168.187.224,80,US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2,3,2978,1620,76354,89,3.94,1715,1,0,0,70.8,1,1,13,0,0.151,0
358,2334b7e0f13e387a,24-05-2024 03:14,185.239.205.180,443,NG,Go-http-client/1.1,5,6,22,2540,2981,284,1.31,42,1,1,0,10770.1,1,1,22,0,0.796,1
145,9b84e984e94cba4a,16-12-2024 18:44,192.168.252.162,8443,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,1,2321,7017,59167,99,3.95,1119,0,0,1,98.7,0,0,20,0,0.098,0
120,14e19c53559b04b8,05-07-2024 00:38,192.168.16.194,443,US,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,2,2216,14316,67836,98,3.94,945,0,0,1,10.6,0,1,8,0,0.11,0
202,fc1cf1861b7f886c,15-02-2024 04:07,172.189.46.73,22,RO,libwww-perl/6.72,9,44,30,1669,2170,246,2.99,17,1,0,0,810.5,1,0,22,0,0.517,1
207,e61cdff775266529,03-01-2024 14:58,185.254.88.145,443,CA,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,1,1559,11537,32201,100,3.91,554,0,0,1,21.6,0,0,10,0,0.024,0
252,4702ade33f397b41,04-02-2024 08:53,192.168.180.196,443,DE,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,2,2,2704,7837,60195,84,4.53,1662,0,0,1,110.7,0,1,13,0,0.261,0
340,343aa073529b8df0,15-07-2024 12:11,192.168.13.178,443,SG,Mozilla/5.0 (Android 13; Mobile) Chrome/119,0,1,2483,12349,18716,39,4.09,938,0,0,1,19.9,1,0,15,0,0.274,0
405,82f6df9cd2cb7804,11-02-2024 03:30,62.75.200.196,22,KP,curl/7.88.1,26,30,52,1205,1114,391,3.03,40,0,1,0,780.0,0,1,4,1,0.879,1
22,2ac08854979ad575,18-06-2024 02:56,91.188.175.224,443,KP,curl/7.88.1,8,23,41,1219,3018,430,2.46,5,1,1,1,1212.9,1,0,4,0,0.719,1
375,65440f02711a967d,18-02-2024 03:08,203.83.168.24,80,RU,masscan/1.3,8,15,9,1671,2883,443,1.06,14,0,1,0,2076.6,0,1,4,1,0.578,1
117,779470fa53c4715c,07-08-2024 17:58,62.103.248.22,80,IN,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,1,3,657,3458,58074,114,5.14,1012,0,0,1,59.3,0,0,20,0,0.125,0
174,aa6e38e35ef49981,18-04-2024 01:14,185.99.49.116,8080,BR,libwww-perl/6.72,9,6,24,1987,4095,13,2.34,47,0,1,0,9914.0,1,1,23,0,0.784,1
298,aae5b701a3314991,06-05-2024 07:55,192.168.71.188,8443,SG,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,1,0,1595,11172,17793,86,5.77,461,0,0,1,31.5,0,0,19,0,0.14,0
25,23ae08e288a827a8,02-12-2024 02:20,172.153.13.91,22,KP,Mozilla/5.0 (Android 13; Mobile) Chrome/119,9,49,37,2199,1448,90,2.86,15,1,1,0,2019.7,0,1,23,1,0.606,1
227,bcab5d57685eeb81,06-01-2024 15:23,192.168.13.151,443,JP,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,1,0,155,10301,14862,39,4.77,856,0,0,1,27.9,0,0,18,0,0.022,0
11,8e3e294a69a4d557,13-06-2024 22:27,91.58.60.243,8080,UA,Go-http-client/1.1,6,49,6,496,3000,2,2.3,15,0,1,0,11790.9,1,1,5,0,0.605,1
359,38a78d2de29fb067,06-11-2024 08:16,194.62.68.25,443,CA,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,0,3,1278,2221,45278,60,4.19,61,0,0,1,25.0,1,0,8,0,0.178,0
334,8adf517ddbe37916,02-04-2024 22:05,172.126.33.52,443,CN,curl/7.88.1,7,37,23,1732,1852,379,1.98,43,1,1,0,7142.9,1,0,22,1,0.975,1
282,1ed512989522d00c,03-10-2024 14:06,77.118.153.110,80,JP,Mozilla/5.0 (Android 13; Mobile) Chrome/119,1,0,2187,12918,31024,86,4.66,1088,0,0,0,19.5,0,0,13,0,0.276,0
94,a876dcba88dc049d,20-11-2024 20:29,192.168.193.93,443,GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,1,4,1746,1315,63640,47,4.03,1578,0,0,1,117.7,0,0,11,0,0.138,0
447,025491bde7fe7d15,17-11-2024 22:26,103.204.162.247,3389,BR,curl/7.88.1,6,12,33,1163,2258,76,2.18,1,1,0,0,1057.8,1,1,23,0,0.661,1
323,68d1231ef34f3f67,10-06-2024 16:42,77.225.38.2,443,NL,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,0,1,2431,8977,18624,20,4.37,1679,0,0,1,103.1,0,0,7,0,0.182,0
205,b0bdeb3ffe80f464,29-06-2024 03:47,77.113.77.186,3389,RO,sqlmap/1.7,5,37,25,2858,681,212,1.16,44,1,0,0,2338.4,1,1,3,0,0.433,1
243,27dd2cb14e7638b6,30-04-2024 10:01,45.175.49.96,443,AU,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,0,2,2107,1028,19304,102,4.62,1734,0,0,1,13.3,0,0,11,0,0.243,0
213,9c43fedba5d674f7,12-04-2024 10:27,192.168.54.232,80,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,0,3,159,5974,29465,107,5.45,1608,1,0,1,88.3,1,0,20,0,0.077,0
18,706baf4a5770902a,21-01-2024 06:35,192.168.189.108,443,SG,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,2,1556,6358,5949,47,3.51,1465,0,0,1,66.1,0,1,20,0,0.22,0
46,216886a57c824131,14-07-2024 18:35,192.168.141.147,443,JP,Mozilla/5.0 (Android 13; Mobile) Chrome/119,2,2,2508,13868,31384,55,3.81,1558,0,0,1,82.8,0,1,13,0,0.068,0
121,6187418b1dd47d38,11-04-2024 15:41,194.85.9.25,80,CA,Mozilla/5.0 (Android 13; Mobile) Chrome/119,1,1,2341,9211,4062,57,3.74,1298,1,0,1,63.7,0,0,13,0,0.087,0
299,85b6266d3c931663,16-03-2024 08:21,91.56.230.26,80,AU,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,2,2883,10253,46332,97,5.47,1129,0,0,1,111.1,0,1,20,1,0.285,0
64,aca2a02e6d83b872,01-11-2024 17:38,172.27.127.254,80,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,1,1571,10249,24249,73,5.43,1634,0,0,1,82.1,0,0,13,0,0.159,0
264,bac262f609038b3a,17-10-2024 23:17,114.181.50.243,443,RU,Go-http-client/1.1,4,17,51,906,1728,174,2.26,18,0,1,0,1800.9,0,1,23,1,0.833,1
233,41903743e0e0e949,24-02-2024 04:16,192.168.35.221,443,NL,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,2,4,2957,11773,36311,73,5.78,1159,0,0,1,46.9,0,1,8,0,0.288,0
61,4a924a1b30a73ac9,09-12-2024 16:12,185.49.182.121,443,US,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,1,2536,8237,21160,42,4.03,1889,0,0,1,5.8,0,0,13,0,0.263,0
332,b889aa92e059c6e8,10-12-2024 05:19,77.22.110.41,443,IR,Go-http-client/1.1,3,15,6,1009,1973,2,2.84,16,0,0,0,5262.2,1,1,5,0,0.815,1
147,96f034fded33532a,28-09-2024 03:16,114.162.59.78,8080,RO,libwww-perl/6.72,11,47,72,288,3876,359,2.99,42,0,0,0,1415.8,1,1,3,1,0.88,1
80,11b41c8ccab982da,30-11-2024 16:02,192.168.23.19,443,NL,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,0,1472,3030,40314,52,5.85,1546,0,0,1,106.6,0,1,19,0,0.228,0
125,2e14c4781bdab93b,30-08-2024 23:49,103.29.91.218,8080,PK,Nikto/2.1.6,8,47,49,1579,2254,260,2.68,18,0,0,0,9642.2,1,1,2,0,0.919,1
76,01def82156ea0864,24-05-2024 08:53,103.206.20.242,8443,DE,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,1,3,3589,14380,70577,43,4.7,250,0,0,1,20.2,0,0,7,1,0.28,0
79,132c3981e985b61a,16-09-2024 15:00,192.168.73.44,80,SG,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,0,1,272,4084,25160,105,5.09,356,0,0,1,6.3,1,0,7,1,0.029,0
172,10a0283a87d95bc0,06-07-2024 09:55,45.127.92.248,443,SG,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,1,3265,13614,24383,32,5.7,1457,0,0,1,9.2,0,0,12,0,0.115,0
102,3b1406f1ed9dc7b0,15-02-2024 23:16,203.188.133.103,443,RU,curl/7.88.1,9,21,76,883,3523,202,1.45,28,0,0,0,3543.8,1,0,23,0,0.898,1
173,37dfca30b41cf008,19-03-2024 02:06,114.243.166.207,8080,VN,curl/7.88.1,5,22,31,2395,4079,131,1.97,23,1,0,1,6954.3,1,1,5,0,0.594,1
371,243b84c26281c695,08-04-2024 02:26,77.186.193.231,443,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,2,1,593,4503,43608,83,5.12,1936,0,0,1,21.6,0,1,20,0,0.177,0
324,c73697e26f951f78,03-04-2024 23:11,77.170.197.40,443,UA,Go-http-client/1.1,4,26,24,2406,4236,426,2.09,33,1,0,0,11860.2,0,1,5,1,0.922,1
297,249f97ad1addf3ce,17-11-2024 14:12,114.254.173.240,80,FR,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,4,2892,14482,26685,84,5.04,562,0,0,1,64.5,0,0,20,0,0.019,0
294,69dc9e779941e006,08-01-2024 07:41,203.171.204.221,8443,FR,Mozilla/5.0 (Android 13; Mobile) Chrome/119,1,1,1380,4623,8372,26,3.96,738,0,0,1,109.6,0,0,12,0,0.038,0
209,cac8e6df6e88f446,24-07-2024 11:00,192.168.79.246,80,SG,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,2,0,2646,3438,67089,49,4.49,1442,0,0,1,83.3,0,1,21,0,0.072,0
111,1bbd50844b74a482,02-05-2024 23:05,172.231.243.240,8080,RO,python-requests/2.28.1,2,23,15,1092,1423,495,2.17,44,1,1,0,6310.5,1,0,0,0,0.748,1
136,a5b4da770ada7791,02-05-2024 18:14,91.207.187.124,443,CA,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,3,864,2074,48278,58,3.71,548,0,0,1,48.1,0,1,10,0,0.062,0
415,dcf799ba77f05014,25-06-2024 12:03,192.168.115.196,8443,AU,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,1,3,788,10324,7726,68,5.7,1837,0,0,1,3.6,1,0,7,0,0.018,0
4,9890d11f4dcab0c6,15-09-2024 23:57,172.216.35.54,3389,KP,Go-http-client/1.1,8,41,33,2029,3338,351,2.23,26,1,0,0,2078.0,0,1,22,0,0.766,1
193,055c6d2426f0f482,13-08-2024 10:56,77.112.189.244,80,FR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2,3,1164,12049,16744,44,4.19,285,0,0,1,15.5,0,1,18,0,0.293,0
276,e1934f16b882f871,20-03-2024 02:53,194.20.196.114,80,GB,Mozilla/5.0 (Android 13; Mobile) Chrome/119,2,4,646,10015,55951,85,4.53,731,0,0,1,63.4,1,1,21,0,0.16,0
140,7cc8d8839976e97c,22-02-2024 07:46,192.168.70.56,443,FR,Mozilla/5.0 (Android 13; Mobile) Chrome/119,0,2,1748,5997,8536,38,5.76,447,0,0,1,10.7,0,0,10,1,0.031,0
159,f050167476460618,27-10-2024 03:28,172.140.19.114,80,US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,0,4,2206,7865,15398,45,5.92,1293,1,0,1,114.2,0,0,16,0,0.056,0
27,d5682405520aad71,02-04-2024 23:07,185.236.26.249,3389,NG,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,8,9,7,2027,2614,133,1.47,42,0,0,0,10001.7,1,1,4,1,0.781,1
50,b9153155a0bf6af0,23-08-2024 09:50,192.168.0.194,443,GB,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,0,647,11204,60325,70,3.94,1539,0,0,1,12.8,0,1,20,0,0.296,0
236,68ac4de65c8ee2b7,07-07-2024 03:32,62.139.147.184,8443,CA,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,1,2,448,13519,41863,6,5.47,1604,0,0,0,111.2,0,0,8,0,0.101,0
83,df5061c0ba74ff50,17-11-2024 08:36,192.168.61.127,443,FR,Mozilla/5.0 (Android 13; Mobile) Chrome/119,0,2,2289,11757,18434,50,3.96,1279,0,0,1,22.2,0,0,7,0,0.092,0
105,05c09a226a2728c2,17-01-2024 11:57,45.52.202.203,8443,IN,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,3,2570,6577,34904,11,4.71,1660,0,0,1,68.8,1,0,15,0,0.283,0
167,275c67caf9a59a70,22-06-2024 15:29,77.45.115.136,443,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,2,601,11464,68852,61,4.94,1482,0,0,1,82.7,0,0,21,1,0.19,0
32,7c0823bec9b152da,09-10-2024 05:22,62.77.110.183,3389,NG,masscan/1.3,9,44,56,372,4065,393,2.05,13,1,1,1,7389.3,1,0,22,1,0.774,1
19,806848cfe85bc89e,15-03-2024 15:41,203.128.184.88,443,GB,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,0,2,1331,11171,4335,79,3.82,1840,0,0,0,15.4,0,0,16,0,0.098,0
